id,session_id,event_id,detected_at,predicted_state,confidence,bbox,tts_emitted,processing_time_ms,latency_ms,detection_time_ms,analysis_time_ms,tts_request_time_ms,frame_b64,real_state,alerta_correcta
000c9a7e-9b05-4593-8f07-0043b9bebf8b,f8e5d5e7-038c-4169-ae4f-6740572d69f0,,2026-07-01 21:33:29.479+00,green,0.95,"[227,545,109,283]",false,118,,115.3,2.5,117.9,,,
00384963-bd7c-4f2c-b15a-4cd1cef6a539,f2234cce-e85e-44b7-8e62-1b0254112a85,,2026-07-01 21:32:07.981+00,red,0.938,"[199,397,309,731]",false,40,,38.1,2.3,40.4,,,
00434512-7cd1-4108-b199-b2ae47135af1,f8e5d5e7-038c-4169-ae4f-6740572d69f0,,2026-07-01 21:32:54.45+00,green,0.867,"[292,584,265,359]",false,126,,123.3,3.1,126.5,,,
00643d48-b3fa-4fae-a5be-3f0dc21269fc,105e9d4d-9091-4f37-9610-09f9aee53a4a,,2026-07-01 21:36:57.479+00,green,0.945,"[41,217,473,985]",false,280,,207.8,72.6,280.6,,,
006b8218-76e0-4dc6-a993-8b081b811257,f8e5d5e7-038c-4169-ae4f-6740572d69f0,,2026-07-01 21:33:22.245+00,green,0.733,"[277,635,121,308]",false,122,,119.1,3.3,122.5,,,
00712682-56bb-4cff-bef9-f7496226db7f,f93cff0c-acb0-4872-b5a1-b37d08861ed8,,2026-07-01 21:17:58.671+00,red,0.869,"[430,243,90,244]",true,200,427.6,169.7,30.3,200.1,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/4gHYSUNDX1BST0ZJTEUAAQEAAAHIAAAAAAQwAABtbnRyUkdCIFhZWiAH4AABAAEAAAAAAABhY3NwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAA9tYAAQAAAADTLQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAlkZXNjAAAA8AAAACRyWFlaAAABFAAAABRnWFlaAAABKAAAABRiWFlaAAABPAAAABR3dHB0AAABUAAAABRyVFJDAAABZAAAAChnVFJDAAABZAAAAChiVFJDAAABZAAAAChjcHJ0AAABjAAAADxtbHVjAAAAAAAAAAEAAAAMZW5VUwAAAAgAAAAcAHMAUgBHAEJYWVogAAAAAAAAb6IAADj1AAADkFhZWiAAAAAAAABimQAAt4UAABjaWFlaIAAAAAAAACSgAAAPhAAAts9YWVogAAAAAAAA9tYAAQAAAADTLXBhcmEAAAAAAAQAAAACZmYAAPKnAAANWQAAE9AAAApbAAAAAAAAAABtbHVjAAAAAAAAAAEAAAAMZW5VUwAAACAAAAAcAEcAbwBvAGcAbABlACAASQBuAGMALgAgADIAMAAxADb/2wBDABALDA4MChAODQ4SERATGCgaGBYWGDEjJR0oOjM9PDkzODdASFxOQERXRTc4UG1RV19iZ2hnPk1xeXBkeFxlZ2P/2wBDARESEhgVGC8aGi9jQjhCY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2P/wAARCAB4AMgDASIAAhEBAxEB/8QAGwAAAQUBAQAAAAAAAAAAAAAAAAECAwQFBgf/xABBEAABAwIDBAYIAwYFBQAAAAABAAIDBBEFEiEGMVGREyJBYXGhFDJSgbHB0eEVI0IWM1NykvAkYoKy8TRDc5PS/8QAGAEBAQEBAQAAAAAAAAAAAAAAAAECAwT/xAAdEQEBAQEAAgMBAAAAAAAAAAAAARECITEDEkEE/9oADAMBAAIRAxEAPwDurI0G/RLdF0UmZvtDmlRdF0QFNzAm2vIpbougLIOnYSi6LoEBJ3tI8bJUXSXQIc3YAfegX7QOaVCBEln33i3h905CBEhBO5xHglQgQDvJQRdKhA3IBx5lLZLdF0DDG072g+ITg1LdF0FSob63/kZ8QrVlXnPrfzs+IVm6qoI23nmd4N5C/wA0J0HquPtPJ80Iia6LqGnqYKpmemnjmZe2aN4cPJSqAvbek6Rg/W3mlSoGh7TucD70q5+HamKTGJqB8DYxG5zRKZCcxHcG6c1anxmWLdTBw4gTH4RFBrpFmUmKy1Tw0U2W/a5szRzdGAtJhc5t3ADwN9EBmHfyKA4HjyKck63EckCoQhAhJG5pPgkBJ3sI8bJbG/rHySoCySyVJlHfzKBpz9jW/wBX2SgHtA5pyQgHeAUCWSEHsIHuTg0DcAPAIQRXIOr2cvunjxTkiCtUbnb/AFmfFSOdZpOd4sPZ+ybMN/8AM34p84vERx05qhKdpZAxpJJDRdCkshAXS3TbJbKBbpHOs0k6WRYKticggwyql9iJx8kHJ7FD0nFq6peLkgm/Al1/ku2a6+h3hcTsRI2COrJie9zstiI3EdvaAeK60Pe9udtOCR2agnmAgtIVSCd0ryDRPjA7Xga+Fr+dlZDBlF2MBtqEDkIDG+yOSz67HMLw6foKuqbFJYHKWOOnuCDRQuWxPbehpjGKLJV5r5jcsy8xqn4ZtnRVbX+mOjoy0jKC4vzcgmr9a6ZKq1FXU9fEZaWZsrAbEgEa+9WEQXA3kJC9g/W3mnIQNzsO57eaXQoIPEhJlPtu8kDklkDTtSoEskLgOw8ilukIB48yghlc0k6O3t/SeKkfZxYO++5MkaAe3e3tPFP3yjuHx/4VEiEl0KBiL9ybcougfdZW1EvRbPVjuLMvMgLTvdc7tzLkwLJf95K0fE/JAmwkYbg8ryPXlPkAulBtoea5nZKd8eCMZHEXOzuN3BzQfA2N1oT4jiERs3B5JQe1kzfnZBrbjcbu1LdUYaitc28tKyMm1mma599m280ekyfi3owy9GIekPjmt9UF+68u23nb+1Ehe0PbGGjLff1QvSmzZgSCwjss6915NtbL0u0VY6+6Qjlp8ka5t5uxo0e1VLSxNZHQZbCxsAfoquN7QQYpG1jKMNc3dI46jwAWALpW3zALP0nt36/q+TqeXq+w7MuzzHH9cjj8vkugWHscLbNUn+r/AHFbd1p56VCS6LoijT4m+oz5MNrW5Tb8xjWX8Lu1T566SGMvNDUHW1gY/wD6Vu6gqyeiABt1h2XQOilmeLupzH3OeCfJSXdwHNF0jnWaSgW7rahvP7LBqJHu2zpY7DqUznWvxJULscqxfWMeLfuuanxupj2g9LFQ5zwzKHNjaervtu3d+9Fk13eLySRYXVyMdke2IlrhvBT8KfJNh1PLI/M98bSXEb9B91xFftVWVkD6cNjMUrS1zstiPMrRwnHqltFFBHJE7o2AasufIppZY7Gz+xzeX3QsaixxhziuqaaE6ZQTlvv4lCDTzJcyizJC8C2/XgERNmB0XI7fy/k0UN97nOI8LfVdTn1IXC7eSB2J0zATdsV+ZP0Qdbs6wR4FSN4szczdaVyO8KnQRiCgp4rnqRtb5KfMgddjibtzeLV5diODYlV4xW9DRyuyyFzgLEgEkjt4L0+9llYTJ0uI4pKD/wB4M/pFkHnLdn8We6zcOqv9UZb8Vr4PswyTpRjUVfTubbI2KBzge+4aV6JmvvKM2iDyLFaelpsRnhpDMYWGzTKCHHTW4sO3uXUbP7H0OIYTBWTzVDJZLmzHNsLEjtCw8fcJcerHb/zSOWi77Z78rAKTebR3sOamtWNHDaOPDaGKkhc5zI72L9+pv81ZzLnjtHMH5fwXEd1/3Y+qsjGwXsb6DW2cLl3QOs3uOnwVZtxsZkZlhfj7r64TiX/o+6DtCRuwnEz4QfdBu5lXqyCxlxfrj3LLix/PIGvwvEYgf1Ph0HIkqpiW0rYWAmgr2hj/AFnQ5Wu95Q3zi9U7RU9PVyw2e/JpdgBF+3tCi/aik6M52y3tvygD/cuNnxWnmq5p6iCQ9I4uA107t6pRGjlrWO6N5YXWIcePCyUjYrcUgjiJY5krgRcNfu96zIYhUV2WPqDJcC+64CkxClhY50NMxsdvW8fiqEdW+GR0kejw3Lprbv8AJRqXPTSqIXwZQ9+a9z2/NVhWGGQNgLg7LYkm/kmQSPkYXSFxcSd5v2Km97RO/qk677bihbatyPfmDpCXucd19Sfn4IVcOke6NsENnteXA3Li43vu9yFUMlrqioP51XNJ/O4n4lOgGaKR7ahzXAWyhvreanHQ3/6eJRmnjcDaJovwcdFNMTUtdikDclLUzN4ta82RUmqq3Nmq5nSSAWu430ULaQFo0GnFx+isuZaMNaAABu1WO+89N88b7SMrJC8G7ha1nMjabKY4rIKkN6R0thYOdpZZ15oiBFG1rb3OVz9fNLE0l4/KBfv0cbn+/BbllZsq7Ni+LRSuZDVTZBqMpBHkkp8XrKcPDah7BK4vcbHV3jdV3smAvkdGAfaI+SrukpyGgvkDRvFwbeH9hVltftBIHG80xF9Lyv15OT3bQyNAMcxY/jnkNvc5xHksB76FxJBmaeyzR9VDKYnAujmeXX9VzbfMq7VixJK6aofK92Zz3FxPEldhhu0VHFQwQSVYgLGBp/IL9w4g/Jca0CyruA6TV5IPdZYjVd/PtNh8dS1zKszDJYuETm2N+BKhn2upo4i6LNLJf1LluniuKbkkkyxsdc7gXKzHSMdG7pJWMlBHVkeG6cQb6qsuyp9rKGVo6V5jcew3NvJTS7RYdG2/pFydwyu18lwstPBFG54kbIR2CRpJ5FRvlZGI+oHAgHUBUdpWbVU8WX0d3SgjflItzssfFsflrqcRhojad9jv81jdLA6EkAAjXJYkj32UTJ4Rd1pGuG4aOB57kQ973scXRvIJ3kGyGTkSNu4lwcOte6imqumGrdR26fRNEhLC7S4ItYAKVY1auQh5mc1rmyDq3cCRbiOz3rMideRwDGnfvS+kS1D7yvzWbYKud51sn6fi56WYBkLWuI7Q5K0kwvkyCzgb3IuLlUSpBKRDk6pF/ZFx796ouMiqXNaYX6A6A8UJsNMyoc5z5wxrR7JNvkhSLjY04Iv3FJccUXTE0tgUmTuCS/8Adkt+9MhtGVp3hvJJkjBvkaTxypfejTiEw0ua2gbYeFlG6OJ/rwsceJaE/Tilu0dqoiEEV/3LPe0Jk1PCI3O6FtwCb2Vm44qGqeBTya62QZY1sFpClgAH5QFuGiy4jeRg7wt2GCec/kxOfbtA3LPK1HHHEwh4jYCBoSAbeGiRxZnzWHIfBXG4bUnV8Th3WJUraQsIvDr/AJgfotIzTCajQRZrey23wVpmDwmNomaMzjqGhvVHjZa0UU4FnEBo3BqmF2n1B43UtWRkfg9A3QQtI70n4NQfwG/1H6rX638Mc015NvVUbyMd2E0QHVhaPeVWmoIQ+/o4I7cv0W09w/sKB5bfeOSGRkSUVM9vVa6Pjlj+yqMw+GF+eSXO3g5hC2jIGv61i07wnvic8Hqix43PySM1zlTSxOcDDIxota1inMpYBABJJdw16q0p8Oc0Zoxm7gD9FTczKbOBBHYQr5ZVRTslbqcjr7yb+SFZy/5TyQmCznQXHsQhUAfxRn7yhCBzQ94JZG91t9gSntjdkzEgdlrknlZCFi3zjUngoDfad/T904Mbb1/JCFWTSGg6lxHd/wAKpiDpCzJAxzwfWNtyEIKETaiKVkggzZSDZw0K6yLG4+jb/hpGutq3NayEKiYYwXDSIN8Xg/NIcQJIJya6XzAoQiwpqpCRaSn98n2SiaoP6qe3c8n5IQounN6Vxu6Rg8CU2Rp/jt97b/NCENqu9ru2ob/T91E4HslDvd90ISmmydHl11PeVCXW0a8DwshCkKaHWOpDvEp9sw3DmhCqEMQO6yEIQf/Z",,
00b6b6d9-9569-4634-b85c-1980d5e87a7c,f8e5d5e7-038c-4169-ae4f-6740572d69f0,,2026-07-01 21:32:39.912+00,green,0.527,"[301,456,243,354]",false,38,,36.3,1.7,38.1,,,
011c9493-8148-467e-80c5-cb2f3de75536,f93cff0c-acb0-4872-b5a1-b37d08861ed8,,2026-07-01 21:17:47.052+00,yellow,0.469,"[365,386,95,251]",true,220,479.2,197.4,22.6,220.1,"data:image/jpeg;base64,/9j/4AAQSkZJRgABAQAAAQABAAD/4gHYSUNDX1BST0ZJTEUAAQEAAAHIAAAAAAQwAABtbnRyUkdCIFhZWiAH4AABAAEAAAAAAABhY3NwAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQAA9tYAAQAAAADTLQAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAlkZXNjAAAA8AAAACRyWFlaAAABFAAAABRnWFlaAAABKAAAABRiWFlaAAABPAAAABR3dHB0AAABUAAAABRyVFJDAAABZAAAAChnVFJDAAABZAAAAChiVFJDAAABZAAAAChjcHJ0AAABjAAAADxtbHVjAAAAAAAAAAEAAAAMZW5VUwAAAAgAAAAcAHMAUgBHAEJYWVogAAAAAAAAb6IAADj1AAADkFhZWiAAAAAAAABimQAAt4UAABjaWFlaIAAAAAAAACSgAAAPhAAAts9YWVogAAAAAAAA9tYAAQAAAADTLXBhcmEAAAAAAAQAAAACZmYAAPKnAAANWQAAE9AAAApbAAAAAAAAAABtbHVjAAAAAAAAAAEAAAAMZW5VUwAAACAAAAAcAEcAbwBvAGcAbABlACAASQBuAGMALgAgADIAMAAxADb/2wBDABALDA4MChAODQ4SERATGCgaGBYWGDEjJR0oOjM9PDkzODdASFxOQERXRTc4UG1RV19iZ2hnPk1xeXBkeFxlZ2P/2wBDARESEhgVGC8aGi9jQjhCY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2NjY2P/wAARCAB4AMgDASIAAhEBAxEB/8QAGwAAAQUBAQAAAAAAAAAAAAAAAAECAwQGBQf/xABIEAABAwICBwQHBQMICwAAAAABAAIDBBESIQUGMUFRYZETInGhFDJCUoGx0SOCksHhB3KTFSU0U2KisvEWJENUY3ODo7PC0v/EABgBAQEBAQEAAAAAAAAAAAAAAAABAgME/8QAJREBAAICAQIFBQAAAAAAAAAAAAERAiESAzEEEyJBUSNCscHR/9oADAMBAAIRAxEAPwDeIIB2gFJdF1FKGtGxoHwS5Jt0XQOyRkmF4G0gJO1Z77eqCRImhwOwgougddF0wuA23+ASYwePQoH3RdNugnkSgVCbiPuO8ku1VCoSG+5N7/ut/F+iByEC+9Ib7kAkRZ/vN/D+qU5DMgIESIuHZNf0sjARnjceiASJbi9s+hSOYDtJ+BIQIhIG4cg1x8Tf80IqQhp2gH4JMLB7LeiiIuQSXG3AkeSR0UEji58UbnEWJc0EkcFBMHMBAu0E7BxUVTW0lJh9KqoYMWztJA2/VOY1kYsxjWjkLJ+JAynqoKpuKnmjlbxY4EKZNxIxIHISXRdUcGt1gkpdYI9H9i10TgMTg0lwv4LtukcW3jDviw/osgT2n7QM/Zy/urYtNjhOzcg55qdIOnDGRlrL5udT3A/7l/JdCPGQcZac8rCyddIXtG1w6oFI52QAR7RPRN7Rnvt6oDgdjh1RD03COfUpUIBIQDtAKCbceiTEODvwlAoAGwAJUgIPHolsgEiWyQk+449EAhAJPsOHRKgahOQghGaMN0+wRbgeqgZhPHqltxCdfiEoIKoZ2bTuHRHZN90dE+wRn4oG9kz3R0ThG0bGjolulugwzJez14le2N8n2lrMFzst0WolqK6+FlFMRudhjI/8oKzWiXY9eak8HPW19XZs4Iqkw6Rda74m8QYM7fxFbYJsJxuZe+VmnZ1T8nC4KUHqiBoNu8QTyFly9M6wUehXxtq2ykyAkYGg7PEhdRYH9o78NXRnI2YTY+IRrGr2vV2uTqiJg0PTVDpCe8ZIbi3KxTKLXCpp8Z0zTTMj2MdHAQSed8lmaTWiqgiayOCMAb25fVNrtZKqspzC+GMA7Scysep65w8PWsvz/P29K0Npmm0xG99M2VrWEA9oAL9Cuksj+zwfzbUO4yAeS1q08c9yObi3keBSYBff+IpyLqoEKvLJVCdrYoI3RH1nukII+Fiib0uxMJgv7rwfmPogmLGna0H4IDWjY0DwCpUb6+ZgdPJTNsSHNZG438CSPkrZEm5zR939UU9CiDJcV3Si3ANshAlzxS3O8LIu1xcwm8LPhcoZrg54uI4m+IP5JEWjXYgl2rLR6zTvIu2mDTuxG/mujRabFTVsgMGDFscH38rJQ7HxRcplzxS4ioH4kXBTMSQuFs1RhtDzPj1sqpGRPmdjkGFlr7eZC2MFTVzXxUz4ecgZY/heVkNVyHazzv44z5rcHiDYoqvir+2AtC1nvWJv8LhRaUr/AEOie+Spihl9m5AO3mrhJuLlZPXfRdTXdhPAxhawYXEuscyLINANO6NGR0pRE7/tW/VYrXytp6yop3U9RDUBrCCYnBwGe+yrO1J0vezY4v3u1FlZ0fqdWwVMb6+nbU049aKGUBx62+aDJtaSMjZBBB9a61OtGjKOiZTml0VLS4icTnvDsXLJxUmpuh6HST6r06mEgYG4e8W228Cpa07X7PTbR1Q3eJAfJa26oaP0bR6Ma9tHF2Yfm7vF1+pVvEiJLpLpmJGJA4394+SQg++7y+ibiSYkEVECInZkd87grF+ZXD0hpA0FCHs75dNh8N5+S551pfCwF0TGtOYLpL/MoOhpmomjrAI5pGNwA2a4gb0LO1essFU9r3BzpNmFjb5cUJY4QpGgi5LuRcpeyZf1XD/qZ/JT1DQ2cSFjWX4Ov5nNQPmwvsGBwO/EAsTM26xGk8Qe+VjImAOJt3n3v5Lr6vPLtMlhviiuHZ33Ll6Pc010VsF755jJQDSApayrkZJhkc4hrxuz3Faxm2MoqXpeMXsTYnddNdURMDsUrG4Rc3cBYcV5VU1rpnfbVE03NzyfmoBJET7fVVh62yphkF2SscDsLXA3UOkq70GgkqQwSYbd0uw7TbavNRHTvpmmKYtlJzD3AADonumqY2BgqnPiBFoRKfldFjut6K0nHo3Sb6wQuka64wlwbhueOd13P9N2Yv6C7Dx7UX+Sxhm7pHZOIvmbpDM0erG+2+5Czt349NtBrswuOKgdYbCJRf5KvWa2srKZ0Ro3RnEHAiS97G/ALJGX3Wk8k8PBIu14bvIsfolyvHD4bIa7Nwf0F2Lh2ot1skOu7QBhoDi3gy/osc+VjdlznYA5H8/mmiW4uRbkm0+lDQae04NLthYKYxYDiuXA3urup1RDT1EsUji181gwWOZzWYikMzsxbDkr9LO6ke2dmT4ziCzc3tJiK031dPXx29Cp4ZRbMySFtj0KihqdKOjJmpqZrrd3DIXAnnll5rLQa3STNJDXYxk7ERboFbZrVHha2WF4DbXLSDs5FdHCdtBJLpMNaY4qUkjvBz3ADwyz8lG6bS+6Oh/G/wCizzNa3du/HEGxeycJueW1XItaaWQhohnc7+yG/VCD9Kae0jopgdUjR4xeq0PkJP8AdXNfr27s24GxYz6wMZsPA4s/JVNbmSVwjlhGIR3xNG1t7WuuJ/KLWBrBTCMtyNmh3zRZh1KvWaSsY1skjGhr8YDYt/jdQVGloqnB2wjcW7CYb2/vLmSTxyG7myH7oyVeQtc4WBA/dAVRootOU0dPgbH397wwNvnwCFwYpmRtIDXknkEKUtuzLUOEbDPo+m7IbMBf88ZU0dRTODf5vpi22f2tz/jus96VJYgENadwGSfHWzRizHtA4WVpLloPT6Z7/wDVKeOEt957GE+BdY+aiwsc50fost9pzxX55E3XCkq5JPWDD8E2OodEbsa0H4lSlto4qRuA2p9/tMJSufBE/BLHGwgb4di5bNYtIN2yA8sATIQ/TOkTjeWPc25IHBSliY93Tln0XUR9mIMBvcvZGAfkqdU+kZCGRdo5weDeRoyHQKy3V97dtU13iw/kUP0Fl3qiMfcd/wDSq3DmCQMiIcxwDjk7DkojKLEWOfJWK7Rwow1zJGz3OYAtbzVFxedsViORSl5rIcxoB7Vo5Fpv8k4ys/r2dHfRVGAOf9rja07S1tz0uE98dOLYJJjxvEB/7KUvmSe54L7ggjiLpe1bbf0QG0jW5SVBd/yRb/EonFrB9iZDfbiZh+RKrEzEuho5weX2z2KzUSshaMYBBOw3seip6KJDn4m4dlldqIfSMLRYW34cVvhcLl97rE1iidUU7pHubDa4vhBLR8yVaoaT0+F0kJNmu7wa0nzv+Sip9CgTB76m7b3LDHYHltXXpo6WlBEMTRfba4B811cbOY2BsFoNHz2P9ZFY38MWSicTEGtp6WWN97jDFZt+ZxFWo7ONooTfkFaioy54dIWtzztm5FUaKo/lHG5ss0D2HC6MFuXPYq1U6ja19NLTxvqGG9p3CPtBxDgACuXLpN1DpSZ0VMxhbIQRd1yL8ypajWOCqjwVOjWSDnJs8DbJSo9ycvhI6ia4WfouKHgWytN/jmkOjoBE1wYHOv3mNlHdHRV6HTNLRVBkhgnhY7bG2YOafgRfzXZj1ipaixb6Qy25rAb/ADU4nK1AaKi2CmY518wZem1iF0JNZKXFgc6anyPedFn8Mz5hCcYLmGUboypxAmK44XVkUD/9wj/iO+q0Ic3klD28lq0cJtBfbo+P+K5SjRsZBBoGDmJnZLs4glxpYzg0FUYiQ9oHVdrRtK2iiwthGM+s+9yfJWcaTteSCUkncUxzA4ZhMMl+CQyIGupWHa1MNHF7oUrS557rS48lI2CU7WtaOJz+SlwtKvoUPuhHoUXuDorxha1pLnG435AKJ9RSxGz3NvzJ/JORSt6FD7g6JfQ4R7I6KYV2jwLdo2/xCT06iF8DoiebillKNfG2IMwC17qTRTHTzPa1pdYbgqteH1k2NlXTsaPVZiOXkl0dFVU1U2SKshPFrXnvBZrdtXqmhZQSX7wIHKx/NTx0zY8ywuP9pt/zVUVc7hcyFvgcX0UkdY4f7R9+Jjv+a1bNOlEJC3J2ADYMH6qcCwzdfxXNbVuJze4jk3P5oMzCCHOlB/dAS10s1NLRTux1MFPI4C2KRgJt8VVdS6FaO9TUP8Jv0VSaJpcSXSH94/oqskMQ2sHxcpbWl540EzbT0X8Jv0VSZ2rzhZ1PB91lvkq2GlvmYvxJR6L/AMHqEs9KB8WrYvancTyc/wCqFOz0ZjsWKLLdcFCk5SViZ2xSds7mhC05l7Vx/wA0mNxQhAdUZbyhCKR8sTNryD4q9o9kD2dqXBx4HchC5dWZiHTpxEynqJmxlmE93O+SY+YPGcth4lCFOn2XPuRpiGeMFLjj94fAlCF0YAfF7w/EU4yRD22/FxQhEMLoj7TT4OSAwHaWn75QhBI0QEZBh++kmMTYHGMMa7cRYoQqE7S47oB5j/JIZJNzR0QhAwGR7rYQOZUruziAxHtDwGQQhZmd01WrQOmdmQABwCQOLttuqELTJCWe1h6j6oQhB//Z",,
0124f79b-d8a5-48fe-958a-e728f32af4fc,f2234cce-e85e-44b7-8e62-1b0254112a85,,2026-07-01 21:31:54.998+00,red,0.983,"[178,364,330,799]",false,36,,33.1,2.8,35.9,,,
01253a8d-4cf8-48f5-9acf-3220c29da4cc,06f58d20-e1cc-4c4e-9e45-1f722502295c,,2026-07-01 21:02:51.897+00,red,0.888,"[122,43,592,1212]",false,240,,182.8,57.6,240.6,,,
