id,session_name,started_at,ended_at,device_info,n_events,n_alerts,avg_latency_ms,median_latency_ms,p95_latency_ms
06f58d20-e1cc-4c4e-9e45-1f722502295c,auto_2026-07-01T21-02-47,2026-07-01 21:02:47.616+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
08067887-8811-4f51-b78d-56308920205a,session_2026-07-01T19-13-28,2026-07-01 19:13:28.822+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
105e9d4d-9091-4f37-9610-09f9aee53a4a,auto_2026-07-01T21-36-24,2026-07-01 21:36:24.969+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
17151f90-17c9-4175-a351-b8b145eee38f,auto_2026-07-01T20-50-11,2026-07-01 20:50:11.256+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
3537a0bb-3f13-4dfc-b2ea-a9d617ae0a47,auto_2026-07-01T21-01-15,2026-07-01 21:01:15.662+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
4b760dd4-3443-4e4d-86c9-fe515b396640,session_2026-07-01T19-13-27,2026-07-01 19:13:27.543+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
615b19df-d5b2-4303-a189-a5762c76ee63,session_2026-07-01T19-13-26,2026-07-01 19:13:26.938+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
69f86b2e-d6c5-4fea-82a3-8148a6a25796,session_2026-07-01T19-13-28,2026-07-01 19:13:28.614+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
830f6672-23ee-4bc5-8b3c-1e0c7d9b9ce6,auto_2026-07-01T21-01-51,2026-07-01 21:01:51.236+00,2026-07-01 21:02:44.789+00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",196,55,561.1333333333332,508,1159.2
8dc4013d-5b04-42d1-a831-079a747b28dd,session_2026-07-01T19-13-27,2026-07-01 19:13:27.967+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
97286256-a7eb-4e07-9693-f8a3fb0b5525,session_2026-07-01T19-13-29,2026-07-01 19:13:29.687+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
c3e469a4-79b0-4ed1-bf71-5f13a0f505bb,session_2026-07-01T19-13-29,2026-07-01 19:13:29.466+00,2026-07-01 19:14:19.251+00,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",196,55,561.1333333333332,508,1159.2
cb3d9e7d-b29a-4fa5-b6ab-c89e988698f4,session_2026-07-01T19-13-29,2026-07-01 19:13:29.017+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
ce50be2b-2e4a-48cc-9a28-ed806be638b0,test,2026-07-01 00:00:00+00,,test,0,0,,,
de493249-afcd-471a-934d-bf9174023bec,session_2026-07-01T19-13-25,2026-07-01 19:13:25.054+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
e5b22623-bf4a-483d-bba6-b92d2097a24d,auto_2026-07-01T20-40-41,2026-07-01 20:40:41.726+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
ebd21d6f-2f29-4e40-a3ec-3cc055b01dcc,session_2026-07-01T19-13-26,2026-07-01 19:13:26.332+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
f2234cce-e85e-44b7-8e62-1b0254112a85,auto_2026-07-01T21-31-53,2026-07-01 21:31:53.427+00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",0,0,,,
f8e5d5e7-038c-4169-ae4f-6740572d69f0,auto_2026-07-01T21-32-11,2026-07-01 21:32:11.908+00,,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.5 Mobile/15E148 Safari/604.1",0,0,,,
f93cff0c-acb0-4872-b5a1-b37d08861ed8,auto_2026-07-01T21-17-34,2026-07-01 21:17:34.92+00,,"Mozilla/5.0 (Linux; Android 10; K) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/149.0.0.0 Mobile Safari/537.36",0,0,,,
